state_name,state_abbr,long_name,fips,region_name,division_name,population,Sstart,CHR_pre,CHR_post,CFR_pre,CFR_post,caseavertpercapnc,caseavertpercapplus,caseavertpercapminus,totcasepercap_post,maybevax,vaxrate,deathavertpercapnc,deathavertpercapplus,deathavertpercapminus,hospavertpercapnc,hospavertpercapplus,hospavertpercapminus,Rtstart
Maryland,MD,Maryland MD,24,South,South Atlantic,6022545,0.771953688139735,0.0954290153906114,0.105375897271669,0.0148660412868706,0.0150971279495731,1610.32420679298,5134.24972333125,-1068.36063491431,3742.57062421285,3567750.85714285,0.592399202852425,23.9391461434316,76.3259683641465,-15.8822933079034,153.671653513921,489.95639586702,-101.952603471961,1
Massachusetts,MA,Massachusetts MA,25,Northeast,New England,6891061,0.725054995045063,0.0659081889812207,0.0573177171140107,0.0210280343610261,0.0149350773282778,2834.31680549628,5549.34864166781,-377.713968864882,5677.95728408151,4665031.71428571,0.676968570483662,59.6001111760095,116.691893918304,-7.94258231593027,186.804687649299,365.747518997722,-24.8944436407935,1.1
Michigan,MI,Michigan MI,26,Midwest,East North Central,9962980,0.777845958962065,0.0773048962621577,0.080536279702897,0.0167783757884271,0.014151414494126,3884.13406430606,8597.6685690426,-1274.23722621143,5355.45589773341,4959326.78571428,0.497775443262386,65.1694609435578,144.254914155745,-21.3796310249784,300.262580909493,664.641876826251,-98.5047765856545,0.9
Minnesota,MN,Minnesota MN,27,Midwest,West North Central,5589690,0.697429703998439,0.0448167220071132,0.0511247668407443,0.0109670888926472,0.00993714312078583,3671.06225926661,7672.34855600221,-585.30973989613,3847.19903966052,3124083.85714285,0.558901094182836,40.2608661278191,84.1433286290493,-6.41914394717305,164.524976744357,343.849512376028,-26.2316639009806,0.8
Mississippi,MS,Mississippi MS,28,South,East South Central,2949720,0.685356143020524,0.115119179052286,0.0736211586250938,0.0225206402547647,0.0188018129522793,1443.20477875866,3564.2874577926,-371.238626039082,4449.65962871052,1031391.39285714,0.349657388788476,32.5018956363812,80.2700356015172,-8.3605315456993,166.140549335033,410.317846047443,-42.7366858621176,1.5
Missouri,MO,Missouri MO,29,Midwest,West North Central,6085045,0.758788720023761,0.0960790158542848,0.107896532838742,0.0158651500041808,0.0235572010311356,1833.4868517817,5176.71603085926,-205.347700797611,2756.33951762066,2656328.03571429,0.436533835939469,29.0885439342099,82.1293763586294,-3.25787207616773,176.159612300957,497.373781602057,-19.7296050005746,1.2
Montana,MT,Montana MT,30,West,Mountain,1054039,0.772343821802897,0.102779468729552,0.0912980215045636,0.0118659215839164,0.0130954855533929,2495.73308008527,5032.68854378254,30.5017176783781,3030.01122349363,492270.464285714,0.467032495273623,29.6141730226781,59.7174876167981,0.361930990146392,256.510120061932,517.257054811271,3.13495033832248,1.1
Nebraska,NE,Nebraska NE,31,Midwest,West North Central,1919303,0.674215873303523,0.0654671843795466,0.0586612375051179,0.00983410698581189,0.00983568117567015,1754.51713460564,4403.57775713371,-528.290738877603,3314.77103927832,955245,0.497704114462385,17.2541092101519,43.3052547839944,-5.19526764573596,114.863296748301,288.289836955943,-34.5857072081069,1.2
Nevada,NV,Nevada NV,32,West,Mountain,3027377,0.697186262057105,0.0827262758365898,0.0882749128965565,0.0142443089863401,0.0194377148576831,2690.10103465806,5404.64567181425,-246.434454645061,4554.75152252263,1431780,0.472944070064613,38.3186303421425,76.9854429110076,-3.51028851684445,222.542040221418,447.106208645537,-20.3866046706069,1.3
New Hampshire,NH,New Hampshire NH,33,Northeast,New England,1350618,0.867648473196291,0.0821718162064762,0.0444807139403183,0.0129842598971859,0.00906061422950689,4272.78475483075,7928.51864850017,-427.32289959115,4968.28118683447,948463.607142857,0.702244163148172,55.4789477414561,102.945946731811,-5.54847158831055,351.102483563786,651.500777174175,-35.1138987660225,1
New Jersey,NJ,New Jersey NJ,34,Northeast,Middle Atlantic,8891813,0.679654846529414,0.0804980352384965,0.0740030030022805,0.0113269930337622,0.0126139568632989,2602.53448874825,4782.25306807509,-438.757540222675,6594.32446453833,5481087.67857143,0.616419584911584,29.4788900241771,54.1685471877743,-4.96980360161285,209.498912984659,384.961975993317,-35.3191199340009,1.2
New Mexico,NM,New Mexico NM,35,West,Mountain,2086360,0.751388952228623,0.0808374800488217,0.0956958437317066,0.017432366082766,0.0225529161660043,2386.50089150482,5654.800705535,-139.884775398301,3637.91483732434,1234554.57142857,0.591726533977153,41.6023571975596,98.5765560239697,-2.43852261414869,192.918718203516,457.119839213748,-11.3079327403941,1.3
New York,NY,New York NY,36,Northeast,Middle Atlantic,19510229,0.717852453305935,0.103885293347773,0.0749468969721573,0.0121617782607671,0.0120783057826952,2060.18340430551,4337.07620756271,-873.311123103681,6680.58278557366,11104456.6428571,0.569160753718326,25.0554937396758,52.7465591364263,-10.6210162318484,214.022757306492,450.558434094301,-90.7241822074993,1.3
